Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Yᕼᐯᕼ Iᔕ ᗰY KIᑎG! ᜋᜒᜎᜒᜐ,@fraisefiore,2025-09-26T13:01:33.000Z,False,"Advice to Filipinos:
Pag wala kayong nakitang IMPROVEMENTS like baha parin sa inyo, di maayos na kalsada, di maayos na tulong sa kalamidad o wala kayong RAMDAM NA GINHAWA, at lalo na kapag may SCANDAL ang politiko, please,
PALITAN NIYO SILA NEXT ELECTION at 
HUWAG NANG IBOTO MULI",0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1810579615586611200/jBWf3C-o_bigger.jpg,https://x.com/fraisefiore/status/1971560775103000803,tweet_id:1971560775103000803
jo,@koomiinaii,2025-05-12T13:37:46.000Z,False,ANG TATANGA NIYOOOOOOO#Halalan2025 #Eleksyon2025,183,35K,82K,1.5M,"['#Halalan2025', '#Eleksyon2025']",[],[],https://pbs.twimg.com/profile_images/1953714001483116544/Tiw92Zyh_bigger.jpg,https://x.com/koomiinaii/status/1921922751985553898,tweet_id:1921922751985553898
2025 Philippine local and national elections,@phvote,2019-05-15T15:09:06.000Z,False,"Youth groups chant, ""Ang tao, ang bayan, ngayon ay lumalaban!"" #PHVote | via ",5,43,158,0,['#PHVote'],['@abegailkbilan'],[],https://pbs.twimg.com/profile_images/1378940194930495489/C4I_uUaV_bigger.jpg,https://x.com/phvote/status/1128678701535834114,tweet_id:1128678701535834114
2025 Philippine local and national elections,@phvote,2019-05-15T15:08:09.000Z,False,"WATCH: Protesters sing ""'Di Niyo Ba Naririnig?"", along with Nagueños, at the Plaza Rizal, Naga City on Wednesday, May 15. #PHVote | via ",5,62,180,0,['#PHVote'],['@abegailkbilan'],[],https://pbs.twimg.com/profile_images/1378940194930495489/C4I_uUaV_bigger.jpg,https://x.com/phvote/status/1128678459452968961,tweet_id:1128678459452968961
EZEKIEL,@Zekiel1805,2025-05-12T00:52:42.000Z,False,"Bumoto nang Matalino.
Bumoto ng Matalino.#Halalan2025 #Election2025",6,1.3K,3.7K,162K,"['#Halalan2025', '#Election2025']",[],[],https://pbs.twimg.com/profile_images/1805553828592599044/qkb7GxDO_bigger.jpg,https://x.com/Zekiel1805/status/1921730218131345694,tweet_id:1921730218131345694
ely,@fatedsjake,2025-05-12T02:05:32.000Z,False,"Filo Engenes! Let’s vote for senators who are honest, capable, and truly care about our country. Don’t fall for empty promises – let’s choose candidates with a proven track record and clear plans for the future. Our votes matter, let’s use them wisely!#Election2025 #Halalan2025",0,1.4K,3.2K,106K,"['#Election2025', '#Halalan2025']",[],[],https://pbs.twimg.com/profile_images/1969418565859360771/UAlQTjEf_bigger.jpg,https://x.com/fatedsjake/status/1921748546795061565,tweet_id:1921748546795061565
Angela Baron,@_rainbowfighter,2025-04-09T08:31:36.000Z,False,"IBOTO ngayong #Halalan2025 — 

KIKO Pangilinan #51PangilinanKiko 

BAM Aquino #5AquinoBam 

HEIDI Mendoza #45MendozaHeidi 

Para SENADOR!!!",17,208,1.1K,24K,"['#Halalan2025', '#51PangilinanKiko', '#5AquinoBam', '#45MendozaHeidi']",[],[],https://pbs.twimg.com/profile_images/1967760063143219203/QnDHtdWP_bigger.jpg,https://x.com/_rainbowfighter/status/1909886904868418044,tweet_id:1909886904868418044
,@milovescv,2025-09-26T13:04:30.000Z,False,"iingatan, pagsisilbihan, aalagaan, jojowain, aasawahin, mamahalin habang buhay, to have and to hold, in sickness and in health, for richer or for poorer, to love and to cherish from this day forward until death do us part, YES FATHER, I DO!",0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1969072828277542912/ogjrRp8T_bigger.jpg,https://x.com/milovescv/status/1971561517536653313,tweet_id:1971561517536653313
Neri Colmenares #BayanMunaPartylist,@ColmenaresPH,2025-05-12T02:21:44.000Z,False,"Nakaboto na po tayo para sa makabayang pagbabago.

Maraming reports ng problema sa pagboto katulad ng ""over voting"" dahil sa tumagos na tinta ng marker, mahabang pila at hindi pagsimula sa oras ng ibang voting precincts. Dapat aksyunan agad ito .#Halalan2025#Eleksyon2025",3,137,1.2K,26K,"['#Halalan2025', '#Eleksyon2025']",[],[],https://pbs.twimg.com/profile_images/1874481886657232897/cB-7FHla_bigger.jpg,https://x.com/ColmenaresPH/status/1921752621515231697,tweet_id:1921752621515231697
Project Gunita,@ProjectGunitaPH,2025-05-12T04:16:05.000Z,False,"Ngayong #Halalan2025, ang paalala sa atin ng kasaysayan: Bumoto tayo nang tama. Bumoto tayo nang malaya. #DefendHistoricalTruth",0,375,1K,38K,"['#Halalan2025', '#DefendHistoricalTruth']",[],['\\U0001f1f5\\U0001f1ed'],https://pbs.twimg.com/profile_images/1893672865737961472/9uKzxb-2_bigger.jpg,https://x.com/ProjectGunitaPH/status/1921781402552385738,tweet_id:1921781402552385738
EU EOM Philippines 2025,@EUeomPH2025,2025-07-04T05:20:27.000Z,False,"The Final Report includes 21 recommendations that the EU EOM, in line with its mandate, offers for the consideration of Philippines’ political and electoral authorities, political parties, civil society, and the public at large.#Halalan2025 #Eleksyon2025 #Eleksyon",0,1,5,121,"['#Halalan2025', '#Eleksyon2025', '#Eleksyon']",[],[],https://pbs.twimg.com/profile_images/1900236514488897537/2hULzKA1_bigger.jpg,https://x.com/EUeomPH2025/status/1941004156455866869,tweet_id:1941004156455866869
Llay. ‍.𖥔 ݁ ˖,@hanjeulz,2025-05-12T05:18:19.000Z,False,"siguraduhing bumoto nang tama, at iboto ang tama.#Halalan2025",15,130,445,10K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1970859579098669056/Hj485Xtz_bigger.jpg,https://x.com/hanjeulz/status/1921797063341130015,tweet_id:1921797063341130015
2025 Philippine local and national elections,@phvote,2019-02-10T00:59:45.000Z,False,"Know where some of the senatorial candidates stand on key issues. 

Would this affect your vote in the coming elections? #PHVote #TheLeaderIWant",3,423,410,0,"['#PHVote', '#TheLeaderIWant']",[],[],https://pbs.twimg.com/profile_images/1378940194930495489/C4I_uUaV_bigger.jpg,https://x.com/phvote/status/1094400495869804545,tweet_id:1094400495869804545
