Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
ABS-CBN News,@ABSCBNNews,2025-05-09T09:45:28.000Z,True,"The miting de avance for senatorial candidates Atty. Luke Espiritu and Leody de Guzman kicks off at Liwasang Bonifacio in Manila.   

Partido Lakas ng Masa Chairman Sonny Melencio opens the program. #Halalan2025 | via ",1,5,22,9.2K,['#Halalan2025'],['@PaigeJavier'],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1920777127533695463,tweet_id:1920777127533695463
Carlos YOLO,@misterbait247,2025-05-07T20:30:47.000Z,True,"5 Bam Aquino  
6 Ronnel Arambulo
8 Dodoy Ballon
13 Arlene Brosas
17 France Castro
19 David D’Angelo25 Luke Espiritu  
43 Sonny Matula  
45 Heidi Mendoza  
51 Kiko Pangilinanan  
54 Danilo Ramos#halalan2025",1,13,67,2K,['#halalan2025'],"['@bamaquino', '@LukeEspirituPH', '@AttyMatula', '@HeidiMendoza45', '@kikopangilinan']",[],https://pbs.twimg.com/profile_images/1862849261484003328/JAYjbnDY_bigger.jpg,https://x.com/misterbait247/status/1920214754003726405,tweet_id:1920214754003726405
David D'Angelo BOSES NG KALIKASAN,@daviddangeloph,2025-04-30T03:39:54.000Z,True,"𝟯 𝗠𝘂𝘀𝗸𝗲𝘁𝗲𝗲𝗿𝘀 𝘀𝗮 𝗦𝗲𝗻𝗮𝗱𝗼

#8 Roberto ""Ka Dodoy"" Ballon
#19 David D'Angelo, Boses ng Kalikasan 
#43 Atty. Sonny Matula, Defender ng Manggagawa 

Sa kanila bayan ang panalo! 
Tara na ikampanya at iboto! #Halalan2025 #Eleksyon2025 #BilangPilipino",6,35,81,10K,"['#Halalan2025', '#Eleksyon2025', '#BilangPilipino']",[],[],https://pbs.twimg.com/profile_images/1922982893652967424/jT21kqbl_bigger.jpg,https://x.com/daviddangeloph/status/1917423640729248106,tweet_id:1917423640729248106
The LaSallian,@TheLaSallian,2025-04-12T11:15:37.000Z,False,"JUST IN: The Legislative Assembly (LA) endorses the following #Halalan2025 candidates to the USG:

• Kiko Pangilinan  
• Bam Aquino  
• Luke Espiritu  
• Heidi Mendoza  
• Rep. Arlene Brosas  
• Sonny Matula  
• Leody De Guzman  
• Ronnel Arambulo  
• Danilo Ramos",8,110,619,15K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1962397865210503168/_LpICsvz_bigger.jpg,https://x.com/TheLaSallian/status/1911015344384209087,tweet_id:1911015344384209087
Rappler,@rapplerdotcom,2025-02-16T09:23:34.000Z,True,Preparations underway at Bantayog ng mga Bayani for the proclamation rally of Leody de Guzman and Luke Espiritu. | via Iya Gozum/Rappler #PHVote,5,4,42,5.3K,['#PHVote'],[],[],https://pbs.twimg.com/profile_images/1583252893368717313/wUCmGve8_bigger.jpg,https://x.com/rapplerdotcom/status/1891055813109710899,tweet_id:1891055813109710899
ABS-CBN News,@ABSCBNNews,2025-02-16T09:07:56.000Z,True,"LOOK: Preparations are underway at the Bantayog ng mga Bayani for the proclamation rally of senatorial candidates Leody de Guzman and Atty. Luke Espiritu.  

The event is scheduled to begin at 6 p.m. #Halalan2025 | via ",4,5,45,16K,['#Halalan2025'],['@PaigeJavier'],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1891051876352716883,tweet_id:1891051876352716883
aya #21DeGuzman25Espiritu,@f1bonacheeze,2025-02-01T16:06:10.000Z,False,"Ka Leody didn’t criticize Cory and GMA because of their gender, but because of their anti-worker, and pro-capitalist policies. This is not misogyny!!#Halalan2025 #TanongNgBayan",1,55,223,7.8K,"['#Halalan2025', '#TanongNgBayan']",[],[],https://pbs.twimg.com/profile_images/1850188450810691586/tKtaVMcl_bigger.jpg,https://x.com/f1bonacheeze/status/1885721311626068069,tweet_id:1885721311626068069
iam ian,@IanIslander3,2025-02-01T15:51:54.000Z,False,"Thank you GMA News and to the 12 candidates!
Moderators: Jessica Soho, Vicky Morales, Kara David, Pia Arcangel and Emil Sumangil

That was the first Senatorial Debate para sa #Eleksyon2025 #TanongNgBayanSnap poll below",4,5,38,4.7K,"['#Eleksyon2025', '#TanongNgBayan']",['@gmanews'],"['\\U0001f1f5\\U0001f1ed', '\\U0001f447\\U0001f3fc']",https://pbs.twimg.com/profile_images/1755925289966952448/PV8c_FWF_bigger.jpg,https://x.com/IanIslander3/status/1885717722706940228,tweet_id:1885717722706940228
karl #MarcosMamamatayTao,@eicvsfascism,2025-02-01T13:51:08.000Z,False,"I am expecting that Leody's answer will once again sound controversial, but we can both respect Cory Aquino's role in history and criticize her administration's failures in delivering the promise of social change that has emanated from EDSA 1.#TanongNgBayan#Halalan2025",1,17,90,2.5K,"['#TanongNgBayan', '#Halalan2025']",[],[],https://pbs.twimg.com/profile_images/1971251081629036544/zB5XpOgy_bigger.jpg,https://x.com/eicvsfascism/status/1885687328884281405,tweet_id:1885687328884281405
lance,@lanceluntao,2025-02-01T13:24:56.000Z,False,"Same, Ka Leody. Same.#TanongNgBayan#Eleksyon2025",0,24,205,8.6K,"['#TanongNgBayan', '#Eleksyon2025']",[],[],https://pbs.twimg.com/profile_images/1937028524562423808/ulcSHvpz_bigger.jpg,https://x.com/lanceluntao/status/1885680736721879082,tweet_id:1885680736721879082
