Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
PCIJ,@PCIJdotOrg,2025-05-09T05:59:21.000Z,False,"Villar, Marcos, Binay, Tolentino, Dela Rosa, Abalos, Revilla, and Go. Based on data from Nielsen Ad Intel from January 2024 to March 2025. #phvoteRead our report: pcij.org/2025/05/09/8-s
…",1,39,37,10K,['#phvote'],[],[],https://pbs.twimg.com/profile_images/1785506948806557696/8NPZK8F2_bigger.jpg,https://x.com/PCIJdotOrg/status/1920720226498249021,tweet_id:1920720226498249021
Carlos YOLO,@misterbait247,2025-05-07T20:30:47.000Z,True,"5 Bam Aquino  
6 Ronnel Arambulo
8 Dodoy Ballon13 Arlene Brosas
17 France Castro
19 David D’Angelo
25 Luke Espiritu  
43 Sonny Matula  
45 Heidi Mendoza  
51 Kiko Pangilinanan  
54 Danilo Ramos#halalan2025",1,13,68,2K,['#halalan2025'],"['@bamaquino', '@LukeEspirituPH', '@AttyMatula', '@HeidiMendoza45', '@kikopangilinan']",[],https://pbs.twimg.com/profile_images/1862849261484003328/JAYjbnDY_bigger.jpg,https://x.com/misterbait247/status/1920214754003726405,tweet_id:1920214754003726405
David D'Angelo BOSES NG KALIKASAN,@daviddangeloph,2025-04-30T03:39:54.000Z,True,"𝟯 𝗠𝘂𝘀𝗸𝗲𝘁𝗲𝗲𝗿𝘀 𝘀𝗮 𝗦𝗲𝗻𝗮𝗱𝗼

#8 Roberto ""Ka Dodoy"" Ballon#19 David D'Angelo, Boses ng Kalikasan 
#43 Atty. Sonny Matula, Defender ng Manggagawa 

Sa kanila bayan ang panalo! 
Tara na ikampanya at iboto! #Halalan2025 #Eleksyon2025 #BilangPilipino",6,35,81,10K,"['#Halalan2025', '#Eleksyon2025', '#BilangPilipino']",[],[],https://pbs.twimg.com/profile_images/1922982893652967424/jT21kqbl_bigger.jpg,https://x.com/daviddangeloph/status/1917423640729248106,tweet_id:1917423640729248106
Detective Mask 名探偵マスク,@DetectiveMask,2025-04-13T04:21:08.000Z,False,"In Cebu, Governor Gwen Garcia has endorsed the following admin Senate bets:

-Abalos
-Bong Revilla
-Cayetano
-Lacson
-Pacquiao 
-Sotto
-Tolentino
-Villar

Unclear if she plans to endorse Binay, Lapid, & Erwin Tulfo, or goes for KikoBam and/or pro-Duterte bets.#Halalan2025",7,7,69,4.7K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1953317529147064321/FvP6R5yU_bigger.jpg,https://x.com/DetectiveMask/status/1911273421872435341,tweet_id:1911273421872435341
Ezzah's Year,@ezzahschonxxi,2025-04-09T08:13:29.000Z,False,"This is my current and I believe final list of Senators:

5 - Aquino  
8 - Ballon  
25 - Espiritu  
43 - Matula  
51 - Pangilinan  
54 - Ramos  #Halalan2025Ayan tama na ang number ",3,1,30,1.6K,['#Halalan2025'],"['@bamaquino', '@kadodoyballon', '@LukeEspirituPH', '@AttyMatula', '@kikopangilinan', '@kadaningramos']","['\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1971456764634857476/bKI5Df87_bigger.jpg,https://x.com/ezzahschonxxi/status/1909882345211281904,tweet_id:1909882345211281904
Carlos YOLO,@misterbait247,2025-05-07T20:30:47.000Z,True,"5 Bam Aquino  
6 Ronnel Arambulo
8 Dodoy Ballon13 Arlene Brosas
17 France Castro
19 David D’Angelo
25 Luke Espiritu  
43 Sonny Matula  
45 Heidi Mendoza  
51 Kiko Pangilinanan  
54 Danilo Ramos#halalan2025",1,13,68,2K,['#halalan2025'],"['@bamaquino', '@LukeEspirituPH', '@AttyMatula', '@HeidiMendoza45', '@kikopangilinan']",[],https://pbs.twimg.com/profile_images/1862849261484003328/JAYjbnDY_bigger.jpg,https://x.com/misterbait247/status/1920214754003726405,tweet_id:1920214754003726405
kat ishikawa,@katyrmiese,2025-03-18T08:27:48.000Z,False,"hi guys! kung naghahanap kayo ng kapalit for yah know, i suggest sir ka dodoy ballon. he’s a trust worthy ally for our fisherfolks, and i hope na maipasok natin siya sa senado  #Halalan2025",4,194,454,40K,['#Halalan2025'],[],['\\U0001f30a'],https://pbs.twimg.com/profile_images/1953434356044943360/pAFdU62P_bigger.jpg,https://x.com/katyrmiese/status/1901913415930757341,tweet_id:1901913415930757341
ABS-CBN News,@ABSCBNNews,2025-02-24T09:55:00.000Z,True,"Break muna sa seryosong usapan si Ramon Magsaysay Awardee Roberto “Ka Dodoy” Ballon nang sumalang siya sa Harapan Overtime.
 
Kilalanin pa ang mangingisdang gustong makapuwesto sa Senado ngayong #Halalan2025.",1,16,35,5.5K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1893962825493868556,tweet_id:1893962825493868556
Detective Mask 名探偵マスク,@DetectiveMask,2025-01-28T10:43:25.000Z,False,"We thought a Jojo Binay presidency would be worse than a Rodrigo Duterte presidency. And we were wrong. 

So how sure are we that a Raffy Tulfo would actually be better than a Sara Duterte presidency?#Halalan2025",1,6,41,2.5K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1953317529147064321/FvP6R5yU_bigger.jpg,https://x.com/DetectiveMask/status/1884190539383517208,tweet_id:1884190539383517208
Detective Mask 名探偵マスク,@DetectiveMask,2024-10-07T05:31:10.000Z,False,"Is it just me, or did the 2025 Makabayan senatorial slate trigger a domino effect of more personalities coming up with a surprise senatorial run?

From 1-Rider's Bonifacio Bosita, to Manibela's Mar Valbuena, to fisherman & Magsaysay awardee Roberto Ballon.#Halalan2025",0,7,28,1K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1953317529147064321/FvP6R5yU_bigger.jpg,https://x.com/DetectiveMask/status/1843162129614217608,tweet_id:1843162129614217608
