Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
ABS-CBN News,@ABSCBNNews,2025-09-14T00:45:13.000Z,True,"JUST IN: Comelec will proclaim Gabriela party-list 1st nominee Sarah Elago as 64th winning party-list representative in #Halalan2025, Chairman George Erwin Garcia said on Sunday, September 14.
 
Garcia said it is to comply with constitutional requirement that party-list",106,4.8K,18K,926K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1967026817623355632,tweet_id:1967026817623355632
Job Manahan,@manahan_job,2025-06-17T02:42:03.000Z,False,"Comelec Commissioner Rey Bulay leads the deletion of files containing the ballot faces, voter information sheet for the midterm elections at the National Printing Office #Halalan2025 ",2,1,3,787,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1934803697722380411,tweet_id:1934803697722380411
EU EOM Philippines 2025,@EUeomPH2025,2025-07-04T05:20:27.000Z,False,"The Final Report includes 21 recommendations that the EU EOM, in line with its mandate, offers for the consideration of Philippines’ political and electoral authorities, political parties, civil society, and the public at large.#Halalan2025 #Eleksyon2025 #Eleksyon",0,1,5,121,"['#Halalan2025', '#Eleksyon2025', '#Eleksyon']",[],[],https://pbs.twimg.com/profile_images/1900236514488897537/2hULzKA1_bigger.jpg,https://x.com/EUeomPH2025/status/1941004156455866869,tweet_id:1941004156455866869
ᜃ,@1wony1diva,2025-06-08T07:53:23.000Z,False,Just mapped the 2025 Philippine Senate Election by showing the electoral affiliation of every topnotcher candidate by province. This map is also on the Wikipedia page of the election. #Halalan2025 ,4,25,121,6.2K,['#Halalan2025'],['@IanIslander3'],[],https://pbs.twimg.com/profile_images/1913160175336464384/vJ8F-d7Q_bigger.jpg,https://x.com/1wony1diva/status/1931620556627153280,tweet_id:1931620556627153280
rie,@vsgyaki,2025-05-17T15:22:37.000Z,False,Panoorin: Mensahe ni Niña Robredo para sa kanyang mga tagasuporta.#Halalan2025,1,52,231,7K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1970147190292258816/fgnW0rtF_bigger.jpg,https://x.com/vsgyaki/status/1923761077374075233,tweet_id:1923761077374075233
Jesus Falcis,@jesusfalcis,2025-05-30T09:26:58.000Z,True,"Kaya tayo nasasabihang Uni-Pink eh haha!

But thanks for the endorsement of Kiko-Bam, Secretary Larry Gadon. At least DDS na lang sinisigawan mo ng 8080!!#Halalan2025#KikoPangilinan",50,53,917,66K,"['#Halalan2025', '#KikoPangilinan']",[],[],https://pbs.twimg.com/profile_images/822541032084688896/BgXtfmoR_bigger.jpg,https://x.com/jesusfalcis/status/1928382617683964151,tweet_id:1928382617683964151
popverse #TeamPH,@theTEENstagram,2025-05-17T08:49:50.000Z,False,Senator Bam Aquino   #Halalan2025,0,4,32,1.1K,['#Halalan2025'],['@bamaquino'],"['\\U0001fa77', '\\u2728']",https://pbs.twimg.com/profile_images/1944336880012537856/_0_0ewa0_bigger.jpg,https://x.com/theTEENstagram/status/1923662232405278919,tweet_id:1923662232405278919
Job Manahan,@manahan_job,2025-07-18T03:45:09.000Z,False,"ONGOING: Comelec holds post-election assessment of the secure electronic transmission services during #Halalan2025. 

Technical staff, executives of poll watchdogs and members of the media are present in the discussion. ",0,1,2,139,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1946053603246182628,tweet_id:1946053603246182628
JPG,@joel_gregorio,2025-05-22T12:42:11.000Z,False,"Sal Panelo points out that many of those in Duterte’s slate “did not pass” the standards of younger, 'more EDUCATED' voters. #Halalan2025 

The Rise and Political Significance of Gen-Z?",2,5,14,500,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1572739983060115457/-jHHuHGX_bigger.jpg,https://x.com/joel_gregorio/status/1925532643472638081,tweet_id:1925532643472638081
Angela Baron,@_rainbowfighter,2025-05-16T08:28:53.000Z,False,"1 of the more than 8.7M who voted  for Senator! 

Proud to have done so. #Halalan2025",12,20,229,4.1K,['#Halalan2025'],['@HeidiMendoza45'],[],https://pbs.twimg.com/profile_images/1967760063143219203/QnDHtdWP_bigger.jpg,https://x.com/_rainbowfighter/status/1923294571171025000,tweet_id:1923294571171025000
کعبۃ اللہ | Makkah,@HolyMakkah01,2025-06-05T16:55:05.000Z,False,Towards Muzdalfa #halalan2025,0,8,50,1.4K,['#halalan2025'],[],[],https://pbs.twimg.com/profile_images/1520679698342236161/MSufd79f_bigger.jpg,https://x.com/HolyMakkah01/status/1930669716969758769,tweet_id:1930669716969758769
Tinig ng Plaridel,@tinigngplaridel,2025-07-03T07:14:05.000Z,False,"LOOK: Youth-led election watchdog Kabataan Tayo ang Pag-asa holds a forum at UP Diliman today, July 3, on the implications of the #Halalan2025 results, highlighting how rampant red-tagging has undermined Philippine democracy.",1,1,5,349,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1967931825571106819/Jes8Zkp4_bigger.jpg,https://x.com/tinigngplaridel/status/1940670364641907201,tweet_id:1940670364641907201
Job Manahan,@manahan_job,2025-06-12T03:20:03.000Z,False,"Comelec says they would publicize the Statements of Contributions and Expenditures (SOCE) of senatorial candidates and partylists in the midterm elections, as part of their transparency measures. #Halalan2025 ",1,0,1,165,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1933001323751899314,tweet_id:1933001323751899314
Jesus Falcis,@jesusfalcis,2025-07-28T02:34:00.000Z,True,"20th Congress about to start and Risa-Kiko-Bam taking a picture together gives me hope.

San man sila mapunta, majority or minority eh mukhang “I’ll be there for you” naman sila sa isa’t isa.#Halalan2025",35,136,1.3K,47K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/822541032084688896/BgXtfmoR_bigger.jpg,https://x.com/jesusfalcis/status/1949659578054111438,tweet_id:1949659578054111438
Job Manahan,@manahan_job,2025-07-08T11:48:10.000Z,False,"LOOK: Comelec publishes SOCE of senatorial candidates, partylists, and political parties this #Halalan2025.  

Details on contributions received, expenditures incurred, total of ""lawful expenditures"" are so far available on the Comelec website. ",0,0,1,152,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1942551280465183013,tweet_id:1942551280465183013
Jesus Falcis,@jesusfalcis,2025-07-14T06:05:15.000Z,True,"A picture is worth a thousand words.

From Governor Vilma Santos' face to Luis Manzano looking at the man who defeated him for the Vice Governorship - Dodo Mandanas.

If you're into Batangas politics, this would be very intriguing to you.#Batangas#Halalan2025",4,5,54,4.8K,"['#Batangas', '#Halalan2025']",[],[],https://pbs.twimg.com/profile_images/822541032084688896/BgXtfmoR_bigger.jpg,https://x.com/jesusfalcis/status/1944639308536938536,tweet_id:1944639308536938536
Cleve V. Arguelles,@CleveArguelles,2025-05-19T08:00:30.000Z,True,Four of the top 10 partylists this #Halalan2025 are regional parties or partylists with most of its votes coming from only one or two core regions. The rest are either sectoral or national partylists with most of its votes drawn from a combination of the vote richest regions of,2,10,89,6.2K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1736587454008983553/jMG0b9UQ_bigger.jpg,https://x.com/CleveArguelles/status/1924374593533595698,tweet_id:1924374593533595698
