Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Carlos YOLO,@misterbait247,2025-05-07T20:30:47.000Z,True,"5 Bam Aquino  
6 Ronnel Arambulo
8 Dodoy Ballon
13 Arlene Brosas
17 France Castro19 David D’Angelo
25 Luke Espiritu  
43 Sonny Matula  
45 Heidi Mendoza  
51 Kiko Pangilinanan  
54 Danilo Ramos#halalan2025",1,13,67,2K,['#halalan2025'],"['@bamaquino', '@LukeEspirituPH', '@AttyMatula', '@HeidiMendoza45', '@kikopangilinan']",[],https://pbs.twimg.com/profile_images/1862849261484003328/JAYjbnDY_bigger.jpg,https://x.com/misterbait247/status/1920214754003726405,tweet_id:1920214754003726405
Teacher France,@FranceCastroACT,2025-04-25T01:03:31.000Z,False," 17 Araw na lang at #Halalan2025 na, panahon na para ipanalo ang tunay na kinatawan ng mga guro sa Senado — #17TeacherFranceCastro #17 France Castro — #TeacherNamanSaSenado #21ACTTeachersPartylist sa Kongreso — #TunayNaTinigNgTeachers",18,71,193,4.4K,"['#Halalan2025', '#17TeacherFranceCastro', '#TeacherNamanSaSenado', '#21ACTTeachersPartylist', '#TunayNaTinigNgTeachers']",[],"['\\u23f3', '\\U0001f3af', '\\U0001f3af']",https://pbs.twimg.com/profile_images/1832016222772482048/nhFv7LId_bigger.jpg,https://x.com/FranceCastroACT/status/1915572343889629674,tweet_id:1915572343889629674
Detective Mask 名探偵マスク,@DetectiveMask,2025-04-13T04:21:08.000Z,False,"In Cebu, Governor Gwen Garcia has endorsed the following admin Senate bets:

-Abalos
-Bong Revilla
-Cayetano-Lacson
-Pacquiao 
-Sotto
-Tolentino
-Villar

Unclear if she plans to endorse Binay, Lapid, & Erwin Tulfo, or goes for KikoBam and/or pro-Duterte bets.#Halalan2025",7,7,69,4.7K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1953317529147064321/FvP6R5yU_bigger.jpg,https://x.com/DetectiveMask/status/1911273421872435341,tweet_id:1911273421872435341
Teacher France,@FranceCastroACT,2025-04-12T02:27:30.000Z,False,"SA HARAP NG BALOTA, I-SHADE ANG:  CASTRO, TEACHER FRANCE (MKBYN) 

30 araw na lang bago ang #Halalan2025, mga beshie!  Suportahan natin si Teacher France Castro at ang sampu pang senatorial candidates ng KOALISYONG MAKABAYAN para ipaglaban ang ating mga panawagan:",18,109,387,6.6K,['#Halalan2025'],[],"['1\\ufe0f\\u20e3', '7\\ufe0f\\u20e3', '\\U0001f631']",https://pbs.twimg.com/profile_images/1832016222772482048/nhFv7LId_bigger.jpg,https://x.com/FranceCastroACT/status/1910882439985262808,tweet_id:1910882439985262808
Teddy Casiño,@teddycasino,2025-02-21T07:27:25.000Z,True,"Kahit Duterte supporters ay kailangan ng malinis na gobyerno. Kaya markahan sa balota #16 Teddy Casiño - kalaban ng korap, kakampi ng taumbayan. #Halalan2025 #TaumbayanSaSenado",34,47,228,7.3K,"['#Halalan2025', '#TaumbayanSaSenado']",[],[],https://pbs.twimg.com/profile_images/1938067828315176960/f1f4PLRX_bigger.jpg,https://x.com/teddycasino/status/1892838519816548454,tweet_id:1892838519816548454
ABS-CBN News,@ABSCBNNews,2025-02-04T11:00:01.000Z,True,"Game na humarap sa mga hamon si dating Bayan Muna representative Teddy Casiño matapos ang pagsabak niya sa seryosong usapan sa Harapan 2025 ng ABS-CBN News.
 
Mas kilatisin pa ang dating congressman na target namang makapasok sa Senado. #Halalan2025",1,17,31,5.8K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1886731428831936564,tweet_id:1886731428831936564
Yuyu,@_yuyuboy,2025-02-01T14:02:25.000Z,False,"Mga iboboto ko sa #Halalan2025Heidi Mendoza,
Teddy Casino,
Luke Espiritu,France Castro.

Hindi ko iboboto si Bato at Bondoc - sabi ni Jimmy diplomasya daw sa gobyerno ang kailangan pero idolo si Digong. Kasuka. #TanongNgBayan",29,54,437,26K,"['#Halalan2025', '#TanongNgBayan']",['@gmanews'],[],https://pbs.twimg.com/profile_images/1532602560686612481/p4NUFP9B_bigger.jpg,https://x.com/_yuyuboy/status/1885690169367666794,tweet_id:1885690169367666794
Kulotissima,@kulotissima,2025-01-28T16:15:27.000Z,True,"So ang ibig sabihin nito si Senator Risa Hontiveros lang talaga ang nag-iisang Senador na kakampi natin sa Senado. Ang nag-iisang hindi nasa bulsa ng China, POGO at casino sa Pilipinas.

Yung mga nag YES sa pagbigay ng citizenship, mga Hudas. #Halalan2025",11,188,574,13K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1527492412058255373/CLTqBpMD_bigger.jpg,https://x.com/kulotissima/status/1884274095057174847,tweet_id:1884274095057174847
The LaSallian,@TheLaSallian,2025-01-25T16:22:54.000Z,False,"NatSit: 1Sambayan has revealed its lineup for the 2025 Midterm Elections, which includes Senate runners Heidi Mendoza, Luke Espiritu, France Castro, Sonny Matula, Willie Ong, Ariel Querubin, and former Sens. Bam Aquino and Kiko Pangilinan. #Halalan2025",1,7,24,2.9K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1962397865210503168/_LpICsvz_bigger.jpg,https://x.com/TheLaSallian/status/1883188809120305553,tweet_id:1883188809120305553
ABS-CBN News,@ABSCBNNews,2025-01-16T08:00:01.000Z,True,"Isa sa mga kumasa sa Harapan 2025 si ACT Teachers Partylist Representative France Castro na kakandidatong senador sa darating na #Halalan2025. 

Tutukan ang kaniyang pagsagot sa mga isyung mahalaga sa bayan sa Biyernes, Enero 17 na mapapanood sa ABS-CBN News YouTube page",0,11,43,4.9K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1879800763880464567,tweet_id:1879800763880464567
Roentgen,@ronaldgem,2024-12-30T16:10:43.000Z,False,"Last day of the year. Iwan na natin sina Pia Cayetano, Bato Dela Rosa, Bong Go, Lito Lapid, Imee Marcos, Bong Revilla, Francis Tolentino, Camille Villar, at lahat ng mga trapo at miyembro ng mga political dynasty sa 2024. Huwag na natin silang iboto sa #Halalan2025.",17,1.8K,4K,98K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1928738836429131776/dW7AkuZ3_bigger.jpg,https://x.com/ronaldgem/status/1873763656162480360,tweet_id:1873763656162480360
#PunchTheLies,@PunchTheLies,2024-10-09T23:24:55.000Z,True,"Paalala para sa #Halalan2025THROWBACK: Pia Cayetano on Duterte’s sexism and misogyny

“In the case of our president (Duterte), I love him to death because of all he’s fought for, for women.”

Todo depensa sa kabastusan ni Duterte sa mga kababaihan. FAKE Women’s Rights Advocate.",103,478,1K,109K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1527031033975152647/yVnjD_ie_bigger.jpg,https://x.com/PunchTheLies/status/1844157122428403740,tweet_id:1844157122428403740
ABS-CBN News,@ABSCBNNews,2024-10-07T02:19:00.000Z,True,"TINGNAN: Dumating na si incumbent Taguig Mayor Lani Cayetano sa Pamayanang Diego Silang Covered Court para sa maiksing programa at pagpapakilala ng mga kapartido bago sila maghain ng COC ngayong Lunes, Oct 7. | via  #Halalan2025",43,12,26,25K,['#Halalan2025'],['@jeffcaparas'],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1843113769192624341,tweet_id:1843113769192624341
ABS-CBN News,@ABSCBNNews,2024-10-06T03:58:54.000Z,True,"LOOK: Senator Koko Pimentel arrives at the Comelec Office in San Juan to file his Certificate of Candidacy. He seeks a seat at the House as Marikina 1st District representative. 

He is up against incumbent Mayor Marcelino Teodoro, who filed his COC on Saturday. #Halalan2025 |",16,10,19,22K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1842776520399696135,tweet_id:1842776520399696135
