Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Michael Delizo,@michael_delizo,2025-05-07T04:05:34.000Z,False,"WATCH: The Philippine National Police on Wednesday, May 7, activated the National Election Monitoring Action Center for real-time monitoring and coordination with all PNP units nationwide to ensure the orderly conduct of the mid-term polls. #Halalan2025 #SelfiePatrol",0,6,78,2.3K,"['#Halalan2025', '#SelfiePatrol']",[],[],https://pbs.twimg.com/profile_images/1712158590067425280/Jb_umN_r_bigger.jpg,https://x.com/michael_delizo/status/1919966812655255689,tweet_id:1919966812655255689
Detective Mask 名探偵マスク,@DetectiveMask,2025-05-07T03:03:11.000Z,False,"If Kiko does not do well in 2025, I hope he would at least give 2028 a chance.

Akala nga natin deds na ang Senate career ni Tito Sotto nung nag-#19 in 2007, malayong-malayo sa #1 in 1992 & #3 in 1998.

And yet, nakabawi siya, at ngayon, makakapag-5th term pa nga.#Halalan2025",14,15,191,7.1K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1953317529147064321/FvP6R5yU_bigger.jpg,https://x.com/DetectiveMask/status/1919951116152013255,tweet_id:1919951116152013255
Detective Mask 名探偵マスク,@DetectiveMask,2025-05-06T06:02:11.000Z,False,"I hope rabid Kakampinks are happy now kasi unti-unti na itong nagkakatotoo.

Enjoy the impending Philip Salvador presidency. #Halalan2025",5,9,41,3.8K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1953317529147064321/FvP6R5yU_bigger.jpg,https://x.com/DetectiveMask/status/1919633773848899988,tweet_id:1919633773848899988
Detective Mask 名探偵マスク,@DetectiveMask,2025-05-05T07:29:32.000Z,False,"As long as Senate elections in the Philippines are conducted this way, this is gonna keep going on and on and on.

Popularity and name recognition trumps everything else. And if Phillip Salvador wins this year, he's practically guaranteed a 12-year term as Senator.#Halalan2025",3,9,48,4K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1953317529147064321/FvP6R5yU_bigger.jpg,https://x.com/DetectiveMask/status/1919293369248887200,tweet_id:1919293369248887200
Detective Mask 名探偵マスク,@DetectiveMask,2025-04-13T04:21:08.000Z,False,"In Cebu, Governor Gwen Garcia has endorsed the following admin Senate bets:

-Abalos
-Bong Revilla
-Cayetano
-Lacson
-Pacquiao 
-Sotto-Tolentino
-Villar

Unclear if she plans to endorse Binay, Lapid, & Erwin Tulfo, or goes for KikoBam and/or pro-Duterte bets.#Halalan2025",7,7,69,4.7K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1953317529147064321/FvP6R5yU_bigger.jpg,https://x.com/DetectiveMask/status/1911273421872435341,tweet_id:1911273421872435341
Linedun,@KuysManskie,2025-04-11T03:05:46.000Z,False,"Ang pagboto kay Philip Salvador at Willie Revillame this 2025 ay senyales na di tayo natuto kay Robin Padilla noong 2022. Para tayong sirang plaka, paulit-ulit na lang. Nakakainit ng ulo. #VoteWisely this May. #Halalan2025",57,1.3K,3.7K,107K,"['#VoteWisely', '#Halalan2025']",[],[],https://pbs.twimg.com/profile_images/1940033244885295104/c09H1_eB_bigger.jpg,https://x.com/KuysManskie/status/1910529679813206128,tweet_id:1910529679813206128
ABS-CBN News,@ABSCBNNews,2025-04-10T04:10:54.000Z,True,"DSWD confirms video of exploited PWD in smear campaign vs Pasig Mayor Vico Sotto was taken inside St. Gerrard Construction’s office in Pasig City.  

SGC is owned by Sarah Discaya, who is running for Pasig City Mayor vs Sotto in #Halalan2025 #ANCHeadstart | via ",49,166,676,92K,"['#Halalan2025', '#ANCHeadstart']",['@_katrinadomingo'],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1910183684067705062,tweet_id:1910183684067705062
Kat Domingo,@_katrinadomingo,2025-04-10T02:54:22.000Z,False,"DSWD confirms video of exploited PWD in smear campaign vs Pasig Mayor  was taken inside St. Gerrard Construction’s office in Pasig City.

SGC is owned by Sarah Discaya, who is running for Pasig City Mayor vs Sotto in #Halalan2025 #ANCHeadstart",27,174,624,112K,"['#Halalan2025', '#ANCHeadstart']",['@VicoSotto'],[],https://pbs.twimg.com/profile_images/1901671693984407552/5GxkrDTk_bigger.jpg,https://x.com/_katrinadomingo/status/1910164422930370732,tweet_id:1910164422930370732
ABS-CBN News,@ABSCBNNews,2025-04-05T02:38:05.000Z,True,Pasig City Mayor Vico Sotto shrugs off allegations that he and his allies are behind the viral video of an opposition congressional candidate joking about a 'sex for solo parents program' in the city. | via  #Halalan2025,57,167,1.7K,192K,['#Halalan2025'],['@_katrinadomingo'],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1908348387457634368,tweet_id:1908348387457634368
Kat Domingo,@_katrinadomingo,2025-04-05T02:36:04.000Z,False,Pasig Mayor Vico Sotto shrugs off allegations that he and his allies are behind the viral video of an opposition congressional candidate joking about a  sex for solo parents program in the city.#Halalan2025,9,19,128,21K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1901671693984407552/5GxkrDTk_bigger.jpg,https://x.com/_katrinadomingo/status/1908347879884022245,tweet_id:1908347879884022245
